image_id,property_id,property_address,property_price,property_url,image_url,image_order
2506,5818,Zocherstraat 22-3,698000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-zocherstraat-22-3/43319581/,https://cloud.funda.nl/valentina_media/227/320/226.jpg?options=width=1440,2
2511,5819,Jan Lievensstraat 23,599000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-jan-lievensstraat-23/89789567/,https://cloud.funda.nl/valentina_media/227/577/860.jpg?options=width=1440,2
2516,5820,Boomgaardlaan 124,795000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-boomgaardlaan-124/89725675/,https://cloud.funda.nl/valentina_media/225/475/252.jpg?options=width=1440,2
2521,5821,Van Breestraat 14,3650000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-van-breestraat-14/43986711/,https://cloud.funda.nl/valentina_media/214/387/094.jpg?options=width=1440,2
2526,5822,Count Basiestraat 22,699500.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-count-basiestraat-22/43353923/,https://cloud.funda.nl/valentina_media/225/174/583.jpg?options=width=1440,2
2531,5823,Pieter Postsingel 68,495000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-pieter-postsingel-68/89606043/,https://cloud.funda.nl/valentina_media/224/733/977.jpg?options=width=1440,2
2536,5824,Jacob Krüsestraat 52,465000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-jacob-krusestraat-52/89716141/,https://cloud.funda.nl/valentina_media/225/123/067.jpg?options=width=1440,2
2541,5825,Rustenburgerstraat 144-A10,515000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-rustenburgerstraat-144-a10/43313225/,https://cloud.funda.nl/valentina_media/227/509/884.jpg?options=width=1440,2
2546,5826,Derde Weteringdwarsstraat 29,2150000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-derde-weteringdwarsstraat-29/43924803/,https://cloud.funda.nl/valentina_media/210/609/330.jpg?options=width=1440,2
2551,5827,James Bradleystraat 17,475000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-james-bradleystraat-17/43123246/,https://cloud.funda.nl/valentina_media/220/000/693.jpg?options=width=1440,2
2556,5828,Havikshorst 179,300000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-havikshorst-179/89775086/,https://cloud.funda.nl/valentina_media/227/395/150.jpg?options=width=1440,2
2561,5830,Dorpsstraat Holysloot 41-B,950000.00,https://www.funda.nl/en/detail/koop/amsterdam/bouwgrond-dorpsstraat-holysloot-41-b/43500624/,https://cloud.funda.nl/valentina_media/190/993/189.jpg?options=width=1440,2
2566,5831,Andrej Sacharovstraat 13,595000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-andrej-sacharovstraat-13/89756902/,https://cloud.funda.nl/valentina_media/226/683/104.jpg?options=width=1440,2
2571,5832,Kinrooistraat 2,625000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-kinrooistraat-2/43013911/,https://cloud.funda.nl/valentina_media/219/485/143.jpg?options=width=1440,2
2576,5833,Botticellistraat 33,2420000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-botticellistraat-33/43310891/,https://cloud.funda.nl/valentina_media/227/368/895.jpg?options=width=1440,2
2581,5834,Bertelmanstraat 16-1,525000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bertelmanstraat-16-1/43660277/,https://cloud.funda.nl/valentina_media/193/718/547.jpg?options=width=1440,2
2586,5835,Libau-eiland 103,1175000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-libau-eiland-103/43389975/,https://cloud.funda.nl/valentina_media/226/170/494.jpg?options=width=1440,2
2591,5837,Stadhouderskade 52-2,350000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-stadhouderskade-52-2/43026996/,https://cloud.funda.nl/valentina_media/215/057/577.jpg?options=width=1440,2
2596,5838,Schellingwouderdijk 83,850000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-schellingwouderdijk-83/43304447/,https://cloud.funda.nl/valentina_media/227/127/424.jpg?options=width=1440,2
2601,5839,Van Beuningenstraat 144-3,435000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-van-beuningenstraat-144-3/43801097/,https://cloud.funda.nl/valentina_media/205/029/848.jpg?options=width=1440,2
2606,5840,Silvoldestraat 86,385000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-silvoldestraat-86/89780504/,https://cloud.funda.nl/valentina_media/227/613/861.jpg?options=width=1440,2
2611,5841,Johannes Meewisstraat 42-H,550000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-johannes-meewisstraat-42-h/43795099/,https://cloud.funda.nl/valentina_media/199/931/755.jpg?options=width=1440,2
2616,5842,Ceintuurbaan 57-3,900000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-ceintuurbaan-57-3/43074710/,https://cloud.funda.nl/valentina_media/212/931/418.jpg?options=width=1440,2
2621,5843,Admiralengracht 309-II,580000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-admiralengracht-309-ii/43492229/,https://cloud.funda.nl/valentina_media/186/800/644.jpg?options=width=1440,2
2626,5844,Joh.M. Coenenstraat 48,1150000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-johm-coenenstraat-48/43073187/,https://cloud.funda.nl/valentina_media/212/903/118.jpg?options=width=1440,2
2631,5845,Jelle Posthumapad 66,450000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-jelle-posthumapad-66/43138270/,https://cloud.funda.nl/valentina_media/220/222/615.jpg?options=width=1440,2
2636,5846,Jacob van Lennepstraat 254-D,475000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-jacob-van-lennepstraat-254-d/43143614/,https://cloud.funda.nl/valentina_media/220/846/014.jpg?options=width=1440,2
2641,5847,Bestevâerstraat 186-1,390000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-bestevaerstraat-186-1/43168246/,https://cloud.funda.nl/valentina_media/217/390/897.jpg?options=width=1440,2
2646,5848,M.J. Granpré Molièreplein 5,1150000.00,https://www.funda.nl/en/detail/koop/amsterdam/huis-mj-granpre-moliereplein-5/43134418/,https://cloud.funda.nl/valentina_media/220/457/733.jpg?options=width=1440,2
2651,5849,Koninginneweg 271-3,900000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-koninginneweg-271-3/43141839/,https://cloud.funda.nl/valentina_media/220/775/929.jpg?options=width=1440,2
2656,5850,Honselersdijkstraat 26-3,400000.00,https://www.funda.nl/en/detail/koop/amsterdam/appartement-honselersdijkstraat-26-3/43140940/,https://cloud.funda.nl/valentina_media/220/744/710.jpg?options=width=1440,2
